weight_gp,weight_market,development_dates,development_books,date_balanced_categorical_log
0.6720000000,0.3280000000,100,385,1.4622695630
0.6730000000,0.3270000000,100,385,1.4624623294
0.6740000000,0.3260000000,100,385,1.4626554545
0.6750000000,0.3250000000,100,385,1.4628489385
0.6760000000,0.3240000000,100,385,1.4630427818
0.6770000000,0.3230000000,100,385,1.4632369844
0.6780000000,0.3220000000,100,385,1.4634315468
0.6790000000,0.3210000000,100,385,1.4636264692
0.6800000000,0.3200000000,100,385,1.4638217518
0.6810000000,0.3190000000,100,385,1.4640173949
0.6820000000,0.3180000000,100,385,1.4642133987
0.6830000000,0.3170000000,100,385,1.4644097636
0.6840000000,0.3160000000,100,385,1.4646064898
0.6850000000,0.3150000000,100,385,1.4648035776
0.6860000000,0.3140000000,100,385,1.4650010272
0.6870000000,0.3130000000,100,385,1.4651988389
0.6880000000,0.3120000000,100,385,1.4653970131
0.6890000000,0.3110000000,100,385,1.4655955499
0.6900000000,0.3100000000,100,385,1.4657944497
0.6910000000,0.3090000000,100,385,1.4659937127
0.6920000000,0.3080000000,100,385,1.4661933393
0.6930000000,0.3070000000,100,385,1.4663933296
0.6940000000,0.3060000000,100,385,1.4665936841
0.6950000000,0.3050000000,100,385,1.4667944030
0.6960000000,0.3040000000,100,385,1.4669954866
0.6970000000,0.3030000000,100,385,1.4671969352
0.6980000000,0.3020000000,100,385,1.4673987491
0.6990000000,0.3010000000,100,385,1.4676009285
0.7000000000,0.3000000000,100,385,1.4678034739
0.7010000000,0.2990000000,100,385,1.4680063854
0.7020000000,0.2980000000,100,385,1.4682096635
0.7030000000,0.2970000000,100,385,1.4684133083
0.7040000000,0.2960000000,100,385,1.4686173203
0.7050000000,0.2950000000,100,385,1.4688216997
0.7060000000,0.2940000000,100,385,1.4690264468
0.7070000000,0.2930000000,100,385,1.4692315620
0.7080000000,0.2920000000,100,385,1.4694370456
0.7090000000,0.2910000000,100,385,1.4696428979
0.7100000000,0.2900000000,100,385,1.4698491192
0.7110000000,0.2890000000,100,385,1.4700557099
0.7120000000,0.2880000000,100,385,1.4702626702
0.7130000000,0.2870000000,100,385,1.4704700005
0.7140000000,0.2860000000,100,385,1.4706777012
0.7150000000,0.2850000000,100,385,1.4708857725
0.7160000000,0.2840000000,100,385,1.4710942149
0.7170000000,0.2830000000,100,385,1.4713030285
0.7180000000,0.2820000000,100,385,1.4715122139
0.7190000000,0.2810000000,100,385,1.4717217712
0.7200000000,0.2800000000,100,385,1.4719317010
0.7210000000,0.2790000000,100,385,1.4721420034
0.7220000000,0.2780000000,100,385,1.4723526789
0.7230000000,0.2770000000,100,385,1.4725637278
0.7240000000,0.2760000000,100,385,1.4727751504
0.7250000000,0.2750000000,100,385,1.4729869472
0.7260000000,0.2740000000,100,385,1.4731991184
0.7270000000,0.2730000000,100,385,1.4734116644
0.7280000000,0.2720000000,100,385,1.4736245857
0.7290000000,0.2710000000,100,385,1.4738378825
0.7300000000,0.2700000000,100,385,1.4740515552
0.7310000000,0.2690000000,100,385,1.4742656042
0.7320000000,0.2680000000,100,385,1.4744800298
0.7330000000,0.2670000000,100,385,1.4746948325
0.7340000000,0.2660000000,100,385,1.4749100125
0.7350000000,0.2650000000,100,385,1.4751255704
0.7360000000,0.2640000000,100,385,1.4753415064
0.7370000000,0.2630000000,100,385,1.4755578209
0.7380000000,0.2620000000,100,385,1.4757745143
0.7390000000,0.2610000000,100,385,1.4759915871
0.7400000000,0.2600000000,100,385,1.4762090395
0.7410000000,0.2590000000,100,385,1.4764268721
0.7420000000,0.2580000000,100,385,1.4766450850
0.7430000000,0.2570000000,100,385,1.4768636789
0.7440000000,0.2560000000,100,385,1.4770826540
0.7450000000,0.2550000000,100,385,1.4773020108
0.7460000000,0.2540000000,100,385,1.4775217497
0.7470000000,0.2530000000,100,385,1.4777418710
0.7480000000,0.2520000000,100,385,1.4779623752
0.7490000000,0.2510000000,100,385,1.4781832627
0.7500000000,0.2500000000,100,385,1.4784045339
0.7510000000,0.2490000000,100,385,1.4786261892
0.7520000000,0.2480000000,100,385,1.4788482290
0.7530000000,0.2470000000,100,385,1.4790706537
0.7540000000,0.2460000000,100,385,1.4792934639
0.7550000000,0.2450000000,100,385,1.4795166598
0.7560000000,0.2440000000,100,385,1.4797402419
0.7570000000,0.2430000000,100,385,1.4799642106
0.7580000000,0.2420000000,100,385,1.4801885665
0.7590000000,0.2410000000,100,385,1.4804133098
0.7600000000,0.2400000000,100,385,1.4806384411
0.7610000000,0.2390000000,100,385,1.4808639607
0.7620000000,0.2380000000,100,385,1.4810898691
0.7630000000,0.2370000000,100,385,1.4813161668
0.7640000000,0.2360000000,100,385,1.4815428543
0.7650000000,0.2350000000,100,385,1.4817699318
0.7660000000,0.2340000000,100,385,1.4819974000
0.7670000000,0.2330000000,100,385,1.4822252592
0.7680000000,0.2320000000,100,385,1.4824535099
0.7690000000,0.2310000000,100,385,1.4826821525
0.7700000000,0.2300000000,100,385,1.4829111876
0.7710000000,0.2290000000,100,385,1.4831406156
0.7720000000,0.2280000000,100,385,1.4833704370
0.7730000000,0.2270000000,100,385,1.4836006521
0.7740000000,0.2260000000,100,385,1.4838312615
0.7750000000,0.2250000000,100,385,1.4840622657
0.7760000000,0.2240000000,100,385,1.4842936652
0.7770000000,0.2230000000,100,385,1.4845254603
0.7780000000,0.2220000000,100,385,1.4847576517
0.7790000000,0.2210000000,100,385,1.4849902397
