model,scope_type,scope_value,nominal_probability,empirical_probability,calibration_error,absolute_calibration_error,squared_calibration_error,rows,dates
rbf,decision_rule,6h_prior,0.87,0.8684931506849315,-0.0015068493150685036,0.0015068493150685036,2.2705948583224185e-06,365,365
rbf,decision_rule,6h_prior,0.88,0.8849315068493151,0.004931506849315093,0.004931506849315093,2.4319759804841672e-05,365,365
rbf,decision_rule,6h_prior,0.89,0.8931506849315068,0.003150684931506831,0.003150684931506831,9.926815537624203e-06,365,365
rbf,decision_rule,6h_prior,0.9,0.9041095890410958,0.004109589041095818,0.004109589041095818,1.6888722086694845e-05,365,365
rbf,decision_rule,6h_prior,0.91,0.9095890410958904,-0.0004109589041095818,0.0004109589041095818,1.6888722086694844e-07,365,365
rbf,decision_rule,6h_prior,0.92,0.9123287671232877,-0.007671232876712342,0.007671232876712342,5.884781384875231e-05,365,365
rbf,decision_rule,6h_prior,0.93,0.9205479452054794,-0.009452054794520603,0.009452054794520603,8.934133983861993e-05,365,365
rbf,decision_rule,6h_prior,0.94,0.9287671232876712,-0.011232876712328754,0.011232876712328754,0.00012617751923437766,365,365
rbf,decision_rule,6h_prior,0.95,0.936986301369863,-0.013013698630136905,0.013013698630136905,0.00016935635203602716,365,365
rbf,decision_rule,6h_prior,0.96,0.947945205479452,-0.012054794520547918,0.012054794520547918,0.0001453180709326321,365,365
rbf,decision_rule,6h_prior,0.97,0.9780821917808219,0.008082191780821923,0.008082191780821923,6.532182398198546e-05,365,365
rbf,decision_rule,6h_prior,0.98,0.9917808219178083,0.01178082191780827,0.01178082191780827,0.00013878776505911174,365,365
rbf,decision_rule,6h_prior,0.99,0.9972602739726028,0.00726027397260276,0.00726027397260276,5.271157815725306e-05,365,365
rbf,decision_rule,event_day_open,0.01,0.010958904109589041,0.000958904109589041,0.000958904109589041,9.194970913867515e-07,365,365
rbf,decision_rule,event_day_open,0.02,0.019178082191780823,-0.0008219178082191775,0.0008219178082191775,6.755488834678166e-07,365,365
rbf,decision_rule,event_day_open,0.03,0.03287671232876712,0.002876712328767121,0.002876712328767121,8.275473822480754e-06,365,365
rbf,decision_rule,event_day_open,0.04,0.0410958904109589,0.001095890410958901,0.001095890410958901,1.200975792831669e-06,365,365
rbf,decision_rule,event_day_open,0.05,0.06301369863013699,0.013013698630136988,0.013013698630136988,0.00016935635203602932,365,365
rbf,decision_rule,event_day_open,0.06,0.07397260273972603,0.013972602739726031,0.013972602739726031,0.0001952336273221994,365,365
rbf,decision_rule,event_day_open,0.07,0.08767123287671233,0.017671232876712323,0.017671232876712323,0.0003122724713829985,365,365
rbf,decision_rule,event_day_open,0.08,0.09863013698630137,0.018630136986301365,0.018630136986301365,0.00034708200412835415,365,365
rbf,decision_rule,event_day_open,0.09,0.10684931506849316,0.01684931506849316,0.01684931506849316,0.00028389941827735064,365,365
rbf,decision_rule,event_day_open,0.1,0.1232876712328767,0.0232876712328767,0.0232876712328767,0.000542315631450553,365,365
rbf,decision_rule,event_day_open,0.11,0.12876712328767123,0.01876712328767123,0.01876712328767123,0.0003522049164946518,365,365
rbf,decision_rule,event_day_open,0.12,0.13972602739726028,0.019726027397260287,0.019726027397260287,0.00038911615687746345,365,365
rbf,decision_rule,event_day_open,0.13,0.14794520547945206,0.017945205479452053,0.017945205479452053,0.000322030399699756,365,365
rbf,decision_rule,event_day_open,0.14,0.1643835616438356,0.024383561643835594,0.024383561643835594,0.0005945580784387304,365,365
rbf,decision_rule,event_day_open,0.15,0.18082191780821918,0.03082191780821919,0.03082191780821919,0.0009499906173766193,365,365
rbf,decision_rule,event_day_open,0.16,0.18904109589041096,0.029041095890410956,0.029041095890410956,0.0008433852505160441,365,365
rbf,decision_rule,event_day_open,0.17,0.20273972602739726,0.03273972602739725,0.03273972602739725,0.0010718896603490327,365,365
rbf,decision_rule,event_day_open,0.18,0.21095890410958903,0.03095890410958904,0.03095890410958904,0.0009584537436667293,365,365
rbf,decision_rule,event_day_open,0.19,0.2219178082191781,0.031917808219178084,0.031917808219178084,0.0010187464815162321,365,365
rbf,decision_rule,event_day_open,0.2,0.23013698630136986,0.03013698630136985,0.03013698630136985,0.000908237943328954,365,365
rbf,decision_rule,event_day_open,0.21,0.2465753424657534,0.03657534246575342,0.03657534246575342,0.0013377556764871453,365,365
rbf,decision_rule,event_day_open,0.22,0.25753424657534246,0.03753424657534246,0.03753424657534246,0.0014088196659786073,365,365
rbf,decision_rule,event_day_open,0.23,0.26575342465753427,0.035753424657534255,0.035753424657534255,0.0012783073747419786,365,365
rbf,decision_rule,event_day_open,0.24,0.2821917808219178,0.042191780821917824,0.042191780821917824,0.0017801463689247528,365,365
rbf,decision_rule,event_day_open,0.25,0.2958904109589041,0.045890410958904115,0.045890410958904115,0.002105929817977107,365,365
rbf,decision_rule,event_day_open,0.26,0.30684931506849317,0.04684931506849316,0.04684931506849316,0.00219485832238694,365,365
rbf,decision_rule,event_day_open,0.27,0.32602739726027397,0.05602739726027395,0.05602739726027395,0.0031390692437605525,365,365
rbf,decision_rule,event_day_open,0.28,0.3287671232876712,0.04876712328767119,0.04876712328767119,0.0023782323137549214,365,365
rbf,decision_rule,event_day_open,0.29,0.3424657534246575,0.052465753424657535,0.052465753424657535,0.002752655282416964,365,365
rbf,decision_rule,event_day_open,0.3,0.34794520547945207,0.04794520547945208,0.04794520547945208,0.0022987427284668818,365,365
rbf,decision_rule,event_day_open,0.31,0.36164383561643837,0.05164383561643837,0.05164383561643837,0.0026670857571777086,365,365
rbf,decision_rule,event_day_open,0.32,0.38082191780821917,0.06082191780821916,0.06082191780821916,0.003699305685869767,365,365
rbf,decision_rule,event_day_open,0.33,0.38904109589041097,0.059041095890410955,0.059041095890410955,0.0034858510039407014,365,365
rbf,decision_rule,event_day_open,0.34,0.3972602739726027,0.05726027397260269,0.05726027397260269,0.0032787389754175213,365,365
rbf,decision_rule,event_day_open,0.35,0.40273972602739727,0.05273972602739729,0.05273972602739729,0.0027814787014449273,365,365
rbf,decision_rule,event_day_open,0.36,0.40821917808219177,0.04821917808219178,0.04821917808219178,0.0023250891349221245,365,365
rbf,decision_rule,event_day_open,0.37,0.4191780821917808,0.049178082191780825,0.049178082191780825,0.0024184837680615505,365,365
rbf,decision_rule,event_day_open,0.38,0.4246575342465753,0.044657534246575314,0.044657534246575314,0.001994295364984047,365,365
rbf,decision_rule,event_day_open,0.39,0.4273972602739726,0.03739726027397261,0.03739726027397261,0.00139855507599925,365,365
rbf,decision_rule,event_day_open,0.4,0.4438356164383562,0.04383561643835615,0.04383561643835615,0.00192156126853068,365,365
rbf,decision_rule,event_day_open,0.41,0.44931506849315067,0.039315068493150696,0.039315068493150696,0.0015456746106211304,365,365
